"start","end","text"
"689070","698770"," بالمناسبة، نحن نحاول إضافة موديلات التدريب والتدريب"
"698770","704530"," وكل ما يتعلق بالتدريب نعم بالتأكيد نعم بالتأكيد"
"706830","710530"," وكما قلت، عندما تدخل في موديل، يجب أن"
"710530","714730"," تقارنه بالموديل السابق لذلك يجب أن تقوم بحفظ"
"714730","719450"," جميع هذه الموديلات وكما قلت، عندما تدخل في"
"719450","722530"," موديل، يجب أن تقارنها بالموديل السابق نعم بالتأكيد"
"722530","727130"," هل يمكننا تطبيق هذا بالموديل السابق؟"
"727130","732530"," نعم حسنًا، هل يجب أن نقوم بذلك بسرعة"
"732530","735270"," مع موديلات التدريب والتدريب؟"
"736270","741890"," بالتأكيد لا، يجب أن نقوم بذلك بسرعة مع"
"741890","748670"," موديلات التدريب والتدريب يجب أن نقوم بذلك بسرعة"
"748670","754730"," مع موديلات التدريب والتدريب ويجب أن نقوم بذلك"
"754730","756170"," بسرعة مع موديلات التدريب والتدريب "
